game_state,next_state,runs_scored,transition_count
1-1-1-0,2-0-0-1,1,26
2-1-1-1,3-1,1,38
1-0-1-0,2-0-1-0,0,9589
2-0-1-1,2-1-0-0,2,629
0-1-1-0,2-1-0-0,0,88
2-1-0-0,2-0-1-1,0,1043
0-0-1-1,0-1-0-1,1,216
1-1-0-1,1-0-1-1,1,277
2-1-1-1,2-0-1-0,3,200
0-1-1-1,1-0-1-1,1,137
1-1-1-1,1-0-1-0,3,101
1-1-1-0,2-0-1-0,1,48
0-1-1-1,2-1-0-0,1,10
2-0-1-1,2-1-1-0,1,1
0-1-0-0,0-1-0-0,1,5
0-1-0-0,1-0-1-0,0,2788
0-1-0-0,0-0-0-0,2,1317
2-0-0-1,2-1-0-1,0,1445
1-1-0-0,1-0-0-0,2,1571
1-0-1-0,1-1-0-1,0,1320
1-0-1-1,1-1-0-0,2,401
2-1-1-1,2-1-0-1,2,398
0-1-1-0,2-0-0-1,0,864
0-1-0-1,0-1-0-1,1,154
2-1-0-1,2-1-0-1,1,479
0-0-1-1,0-0-0-1,2,13
1-1-1-1,2-0-0-1,2,8
0-1-1-0,3-0,0,11
2-1-1-1,3-0,0,5446
1-1-0-0,2-1-0-0,0,23533
2-1-1-1,2-1-1-1,1,1006
0-1-1-1,2-0-0-1,1,159
0-0-0-1,0-0-1-0,1,74
0-0-1-0,0-1-0-0,1,591
2-0-0-1,2-0-0-0,2,275
0-1-1-1,0-1-0-1,2,79
2-1-0-0,2-1-0-0,1,45
0-0-0-0,1-0-0-0,0,123052
2-1-1-0,2-1-0-1,1,1092
0-0-1-1,1-0-1-0,1,201
1-1-0-1,3-0,0,887
0-1-0-1,1-1-0-0,1,624
0-0-1-1,0-0-1-1,1,15
2-1-0-1,2-0-1-1,1,229
1-1-0-0,1-0-0-1,1,265
0-0-1-1,0-1-1-0,1,21
1-1-0-0,2-0-0-0,1,27
1-0-1-1,1-0-1-1,1,31
2-0-1-1,3-2,2,28
0-0-1-1,1-0-0-1,1,347
2-1-0-1,2-0-0-0,3,284
0-1-1-0,2-0-1-0,0,79
0-1-1-1,0-1-1-1,1,475
2-1-1-1,3-2,2,34
2-1-0-1,3-1,1,48
1-1-0-0,1-1-0-0,1,7
1-0-0-1,1-1-0-0,1,1148
1-1-0-1,1-0-1-0,2,95
2-0-1-0,2-0-1-0,1,1388
0-0-1-1,0-1-1-1,0,335
0-0-1-1,0-0-1-0,2,147
0-0-1-0,0-0-1-0,1,540
0-1-0-1,0-1-1-1,0,276
1-0-1-0,3-0,0,126
2-1-0-1,3-2,2,10
1-0-1-0,1-1-0-0,1,1234
0-1-1-0,0-0-0-0,3,317
2-1-1-0,2-0-1-0,2,533
0-0-1-1,1-0-1-1,0,1077
0-0-1-0,1-0-1-0,0,5339
1-0-0-1,1-0-0-0,2,177
1-1-1-0,1-0-1-0,2,250
1-1-1-1,2-1-1-0,1,485
2-1-0-1,2-1-0-0,2,7
1-1-1-0,2-0-0-0,2,4
1-0-1-1,2-1-0-0,1,22
1-1-0-0,1-0-1-0,1,661
1-0-1-0,1-1-1-0,0,2670
0-1-1-0,1-1-0-1,0,1116
2-0-1-1,3-0,0,4894
0-1-1-0,0-1-1-1,0,1837
1-1-0-1,1-1-0-1,1,283
0-0-1-0,0-1-1-0,0,1509
0-1-0-1,0-1-1-0,1,498
2-1-1-0,2-0-1-1,1,547
0-0-1-1,1-1-0-1,0,21
0-1-0-1,0-0-1-0,2,43
2-0-1-1,2-0-0-1,2,29
1-0-1-0,2-1-0-0,0,168
2-0-1-0,2-0-0-1,1,127
0-1-0-0,1-0-0-0,1,15
1-0-1-1,2-1-0-1,0,174
1-1-0-1,1-1-0-0,2,4
0-1-1-1,1-1-0-0,2,12
2-1-1-1,3-3,3,4
1-0-0-1,1-0-1-1,0,1
2-1-0-1,3-0,0,6540
0-0-0-0,0-0-1-0,0,8393
1-0-0-1,1-1-0-1,0,875
1-0-1-1,1-1-1-1,0,983
0-1-1-0,0-0-1-1,1,408
0-1-0-1,1-0-1-1,0,110
1-1-1-0,1-0-0-1,2,84
1-0-0-0,1-0-0-1,0,528
0-1-1-0,0-1-1-0,1,380
2-1-1-0,2-1-0-0,2,10
1-1-1-1,2-0-1-0,2,26
1-0-1-0,1-0-1-0,1,1006
1-1-1-0,1-0-1-1,1,623
2-0-1-0,2-0-0-0,2,739
